node,node_adj,distance_m
29594393,4406771064,0
29594393,6954189907,0
4406771064,3613446082,0
4406771064,29594393,0
4406771064,4406771067,0
3613446082,4031323595,0
3613446082,4406771064,0
3613446082,3613446075,0
4031323595,1480990715,0
4031323595,4039887688,0
4031323595,3613446082,0
1480990715,3613446083,0
1480990715,1480990767,0
1480990715,4031323595,0
3613446083,294102618,0
3613446083,3613446078,0
3613446083,1480990715,0
294102618,3613446084,0
294102618,3613446083,0
294102618,4039887791,0
3613446084,3613446085,0
3613446084,3613446079,0
3613446084,294102618,0
3613446085,1480044275,0
3613446085,3613446084,0
3613446085,3613446080,0
1480044275,4033397970,0
1480044275,3613446085,0
4033397970,3834417257,0
4033397970,1480044275,0
4033397970,4033359627,0
26347918,4081095252,0
26347918,26347919,0
26347918,10669794520,0
4081095252,4081095251,0
4081095252,26347918,0
4081095251,1480094254,0
4081095251,4081095252,0
1480094254,1480094257,0
1480094254,4081095251,0
1480094257,3221081450,0
1480094257,1480094254,0
3221081450,10669794266,0
3221081450,1480094257,0
3221081450,6916300639,0
3221081450,296301208,0
26347919,10669969608,0
26347919,568001187,0
26347919,26347918,0
26347919,443354228,0
10669969608,10669969609,0
10669969608,26347919,0
10669969609,10669969610,0
10669969609,10669969608,0
10669969610,4026463503,0
10669969610,10669969609,0
4026463503,26347920,0
4026463503,10669969610,0
4026463503,4026463502,0
26347920,1479434413,0
26347920,1480096101,0
26347920,4026463503,0
1479434413,26347929,0
1479434413,26347920,0
1479434413,1479434411,0
26347929,5042842493,0
26347929,1479434413,0
5042842493,26347928,0
5042842493,26347929,0
26347928,6003879478,0
26347928,5042842493,0
6003879478,4045924399,0
6003879478,26347928,0
1479432696,1752446571,0
1479432696,1479432693,0
1479432696,1479432691,0
1752446571,26347921,0
1752446571,1479432696,0
1752446571,5961498109,0
26347931,5120207416,0
26347931,2408997251,0
26347931,2408997231,0
5120207416,11101673520,0
5120207416,26347931,0
5120207416,5120207415,0
11101673520,11101673519,0
11101673520,5120207416,0
11101673519,26347932,0
11101673519,11101673520,0
26347932,11101673519,0
26347932,11101673521,0
26347932,11101673518,0
26347930,2409201634,0
